Date,Open,High,Low,Close
2025-02-18,95536.83000000,95730.77000000,95200.00000000,95546.48000000
2025-02-18,95546.49000000,95633.15000000,94617.45000000,94639.98000000
2025-02-18,94639.98000000,94878.74000000,94102.15000000,94102.16000000
2025-02-18,94102.16000000,94350.87000000,93600.00000000,93924.03000000
2025-02-18,93924.03000000,94403.88000000,93388.09000000,94104.14000000
2025-02-18,94104.15000000,94458.40000000,93730.72000000,94196.02000000
2025-02-18,94196.77000000,95351.40000000,94118.80000000,95065.46000000
2025-02-18,95065.46000000,95534.25000000,94855.67000000,95304.43000000
2025-02-18,95304.42000000,95685.00000000,95257.15000000,95671.74000000
2025-02-19,95671.74000000,95849.06000000,95279.94000000,95330.15000000
2025-02-19,95330.15000000,95480.00000000,95055.00000000,95479.99000000
2025-02-19,95480.00000000,95961.54000000,95458.03000000,95831.76000000
2025-02-19,95831.76000000,95837.82000000,95565.57000000,95710.26000000
2025-02-19,95710.25000000,95768.95000000,95213.85000000,95213.85000000
2025-02-19,95213.84000000,95340.05000000,95029.99000000,95289.33000000
2025-02-19,95289.34000000,95652.00000000,95249.65000000,95616.31000000
2025-02-19,95616.31000000,95846.15000000,95588.00000000,95687.71000000
2025-02-19,95687.71000000,95866.00000000,95616.60000000,95629.99000000
2025-02-19,95629.99000000,96024.25000000,95629.70000000,95937.40000000
2025-02-19,95937.40000000,96468.99000000,95937.39000000,96330.32000000
2025-02-19,96330.31000000,96423.08000000,96205.40000000,96422.60000000
2025-02-19,96422.60000000,96495.00000000,96138.40000000,96166.44000000
2025-02-19,96166.45000000,96481.60000000,96166.44000000,96277.54000000
2025-02-19,96277.54000000,96700.00000000,95692.00000000,95766.33000000
2025-02-19,95766.33000000,96405.45000000,95536.36000000,95943.74000000
2025-02-19,95943.74000000,96375.39000000,95930.54000000,96300.00000000
2025-02-19,96300.00000000,96480.00000000,96122.00000000,96389.57000000
2025-02-19,96389.57000000,96414.72000000,95640.03000000,95670.54000000
2025-02-19,95670.53000000,96242.80000000,95407.41000000,96206.54000000
2025-02-19,96206.54000000,96479.99000000,96101.89000000,96180.72000000
2025-02-19,96180.72000000,96490.37000000,96058.38000000,96315.64000000
2025-02-19,96315.65000000,96621.86000000,96305.35000000,96539.85000000
2025-02-19,96539.84000000,96899.99000000,96522.55000000,96644.37000000
2025-02-20,96644.37000000,96853.99000000,96415.09000000,96853.98000000
2025-02-20,96853.98000000,97000.00000000,96627.09000000,96767.67000000
2025-02-20,96767.67000000,97275.54000000,96739.48000000,97134.52000000
2025-02-20,97134.52000000,97362.83000000,96979.29000000,97055.25000000
2025-02-20,97055.24000000,97339.11000000,97034.59000000,97224.46000000
2025-02-20,97224.46000000,97224.46000000,96891.47000000,96909.99000000
2025-02-20,96909.99000000,96999.30000000,96781.57000000,96907.99000000
2025-02-20,96908.00000000,97088.87000000,96804.00000000,96867.92000000
2025-02-20,96867.92000000,97197.74000000,96801.61000000,97150.01000000
2025-02-20,97150.01000000,97284.00000000,97150.00000000,97184.63000000
